[Total Dataset Distribution]
========================================
Category  Count  Ratio (%)
     A41   1938       7.83
     I21   1077       4.35
     Z51    971       3.92
     I25    934       3.77
     I13    856       3.46
     I63    792       3.20
     E11    735       2.97
     N17    701       2.83
     K80    653       2.64
     J18    615       2.48
     T81    613       2.48
     I50    579       2.34
     T82    564       2.28
     S72    548       2.21
     N39    537       2.17
     S06    505       2.04
     K56    499       2.02
     I48    494       2.00
     I11    491       1.98
     K57    479       1.94
     L03    454       1.83
     G40    451       1.82
     M17    437       1.77
     S82    421       1.70
     K70    412       1.66
     K85    399       1.61
     I35    398       1.61
     K92    388       1.57
     M48    374       1.51
     R10    373       1.51
     J44    357       1.44
     R07    356       1.44
     T84    355       1.43
     I26    355       1.43
     K91    349       1.41
     J96    329       1.33
     C34    323       1.30
     C79    318       1.28
     K83    310       1.25
     K35    304       1.23
     I67    301       1.22
     E10    294       1.19
     E87    288       1.16
     S22    266       1.07
     I61    266       1.07
     F10    265       1.07
     T85    261       1.05
     I71    258       1.04
     M16    257       1.04
     I95    254       1.03
========================================
