[Train Dataset Distribution]
========================================
Category  Count  Ratio (%)
     A41   1550       7.83
     I21    862       4.35
     Z51    777       3.92
     I25    747       3.77
     I13    685       3.46
     I63    634       3.20
     E11    588       2.97
     N17    561       2.83
     K80    522       2.64
     J18    492       2.48
     T81    490       2.47
     I50    463       2.34
     T82    451       2.28
     S72    438       2.21
     N39    430       2.17
     S06    404       2.04
     K56    399       2.01
     I48    395       1.99
     I11    393       1.98
     K57    383       1.93
     L03    363       1.83
     G40    361       1.82
     M17    350       1.77
     S82    337       1.70
     K70    330       1.67
     K85    319       1.61
     I35    318       1.61
     K92    310       1.57
     M48    299       1.51
     R10    298       1.50
     J44    286       1.44
     R07    285       1.44
     T84    284       1.43
     I26    284       1.43
     K91    279       1.41
     J96    263       1.33
     C34    258       1.30
     C79    254       1.28
     K83    248       1.25
     K35    243       1.23
     I67    241       1.22
     E10    235       1.19
     E87    231       1.17
     S22    213       1.08
     I61    213       1.08
     F10    212       1.07
     T85    209       1.06
     I71    207       1.05
     M16    206       1.04
     I95    203       1.03
========================================
