[Total Dataset Distribution]
========================================
Category  Count  Ratio (%)
     A41   1037      10.38
     I21    576       5.77
     Z51    519       5.20
     I25    499       5.00
     I13    458       4.59
     I63    423       4.24
     E11    393       3.94
     N17    375       3.75
     K80    349       3.49
     J18    329       3.29
     T81    328       3.28
     I50    309       3.09
     T82    301       3.01
     S72    293       2.93
     N39    287       2.87
     S06    270       2.70
     K56    267       2.67
     I48    264       2.64
     I11    262       2.62
     K57    256       2.56
     L03    242       2.42
     G40    241       2.41
     M17    233       2.33
     S82    225       2.25
     K70    220       2.20
     K85    213       2.13
     I35    212       2.12
     K92    207       2.07
     M48    200       2.00
     R10    199       1.99
========================================
