[Train Dataset Distribution]
========================================
Category  Count  Ratio (%)
     A41    830      10.39
     I21    461       5.77
     Z51    415       5.19
     I25    399       4.99
     I13    366       4.58
     I63    338       4.23
     E11    314       3.93
     N17    300       3.76
     K80    279       3.49
     J18    263       3.29
     T81    262       3.28
     I50    247       3.09
     T82    241       3.02
     S72    234       2.93
     N39    230       2.88
     S06    216       2.70
     K56    214       2.68
     I48    211       2.64
     I11    210       2.63
     K57    205       2.57
     L03    194       2.43
     G40    193       2.42
     M17    186       2.33
     S82    180       2.25
     K70    176       2.20
     K85    170       2.13
     I35    170       2.13
     K92    166       2.08
     M48    160       2.00
     R10    159       1.99
========================================
